編號,法條,TextID,Sentence,犯罪後之態度,犯罪之手段與所生損害,被害人的態度,被告之品行,其他審酌事項,有利,中性,不利
0,第221條第1項,00a881a1db,"兼衡其高職畢業之智識程度，離婚、有1
      名子女由前妻照顧、需扶養母親、目前與母親同時賣菜，
      月薪約3萬元之家庭經濟狀況（見本院卷第121頁）等一切
      情狀，量處如主文所示之刑，以示懲儆。",0,0,0,0,1,0,1,0
1,第221條第1項,00a881a1db," ，暨被告犯後矢口否認犯行，犯後態度不佳，本院認不宜
      量處較輕刑度，",1,0,0,0,0,0,0,1
2,第221條第1項,00a881a1db,"對甲女為本案
      犯行，以逞其個人之私欲，心態可議，且為滿足自身之慾
      望，漠視甲女性自主決定權而為前揭強制性交犯行，不僅
      造成甲女身心極大傷害，所生危害甚鉅，甲女並有出現情
      緒低落、自我否定之舉，顯然造成甲女無法抹滅之心理創
      傷",0,0,1,0,0,0,0,1
3,第221條第1項,00a881a1db,"且被告並非刑罰反應能力欠
      佳之輩，竟仍因一時興起而為本案犯行，且被告迄今未彌
      補所犯下之過錯，未與甲女達成和解",0,0,1,0,0,0,0,1
4,第221條第1項,00a881a1db,，以求得甲女之原諒,0,0,1,0,0,0,0,1
5,第221條第1項,025076e318,"；兼衡
    其犯罪動機、目的、手段、智識程度、家庭生活經濟狀況（
    見侵訴卷二第46頁反面），",0,0,0,0,1,0,1,0
6,第221條第1項,025076e318,"暨其犯後一再砌詞卸責，尚不知
    所悔悟之犯後態度等一切情狀，量處如主文所示之刑，以資
    懲儆。",1,0,0,0,0,0,0,1
7,第221條第1項,025076e318,"對甲○之性自主決定權及人格尊嚴戕害甚鉅，造成其
    心中所生之性侵陰影恐終身難以抹滅，所為應予嚴懲",0,1,0,0,0,0,0,1
8,第221條第1項,025076e318,"爰審
    酌被告為滿足己身性慾，竟於凌晨時分，利用甲○獨自留在
    租屋處就寢之機會，隨機對素不相識之甲○為前揭強制性交
    犯行，",0,0,0,0,1,0,1,0
9,第221條第1項,026e0e7b55,"盡力彌補犯行所生損害，是衡酌被告客
    觀犯行與主觀惡性，本院認縱對其量處最低之3 年法定最低
    刑度，猶嫌過重，爰依刑法第59條規定酌減其刑。",1,0,0,0,0,0,0,1
10,第221條第1項,026e0e7b55,本院考量被告終能坦承犯行，,1,0,0,0,0,1,0,0
11,第221條第1項,026e0e7b55,"且積極與
    Ａ女及其父、母洽談和解，並已依約支付款項，有Ａ女、Ａ
    女之母、Ａ女之父簽立之刑事撤回告訴狀、和解書、本院辦
    理刑事案件電話查詢紀錄表為憑（見偵字卷第83頁；本院
    106 年度侵訴字第95號不得閱覽卷第27、29至30頁），可認
    被告犯後態度尚佳，",1,0,0,0,0,1,0,0
12,第221條第1項,026e0e7b55,惟念及被告就己身犯行終能坦承不諱，,1,0,0,0,0,1,0,0
13,第221條第1項,026e0e7b55,犯罪手段尚稱平和，,0,1,0,0,0,1,0,0
14,第221條第1項,026e0e7b55,"兼衡被告別無犯罪紀錄，有臺灣高等法院被
    告前案紀錄表為憑（見侵訴卷第7 頁），素行尚佳，暨其犯
    罪動機、手段、所生損害等一切情狀，量處如主文所示之刑
    ，以資懲儆。",0,0,0,1,0,1,0,0
15,第221條第1項,026e0e7b55,"且積極與Ａ女及其父、母和解並履行賠償金額，業如前述，
    可認其具悔意，",0,0,1,0,0,1,0,0
16,第221條第1項,02ac2d37ff,"影射是甲女主
    動挑逗被告、交往複雜且穿著過於暴露等意旨，復一再虛偽
    描述甲女與其性交之過程，並稱甲女並無自殺本意，且精神
    創傷與其無關等語，均致甲女受有二度之傷害；",0,0,0,0,1,0,0,1
17,第221條第1項,02ac2d37ff,"與被告自承其已離婚，有一個女
    兒與前妻同住，沒有與其他家人同住等家庭狀況（本院卷第
    104 頁），與其為大學畢業（警卷第9 頁），經營餐飲、空
    拍公司等營利事業，經濟能力頗佳",0,0,0,0,1,0,1,0
18,第221條第1項,02ac2d37ff,"，並綜合考量上開犯罪情
    節，甲女雖於身體外觀上未有明顯的傷害，然受創傷後壓力
    症候群合併重度憂鬱所苦，至今仍無法平復等一切情狀，量
    處如主文所示之刑，以資懲儆。",0,0,0,0,1,0,1,0
19,第221條第1項,02ac2d37ff,"又考其於案發後至本院審理中，始終矢口否認犯
    行，毫無悔意，犯後態度顯然不佳，",1,0,0,0,0,0,0,1
20,第221條第1項,02ac2d37ff,"暨衡其所實
    施之強制力手段程度非高，",0,1,0,0,0,1,0,0
21,第221條第1項,02ac2d37ff,"；而被告身為甲女
    之雇主，因對甲女有好感，竟利用甲女不輕易拒絕他人的溫
    和個性，刻意製造兩人獨處的機會，然其於甲女明確表示拒
    絕之當下，竟仍施以強制力違反甲女之意願而為本案犯行，
    至為可議",0,0,0,0,1,0,1,0
22,第221條第1項,02ac2d37ff,"爰審酌被告除有前揭經論處累犯之前案紀錄外，別無其他前
    案犯行，固堪認其平日素行尚可；",0,0,0,1,0,0,1,0
23,第221條第1項,03204e5334,"兼衡被告之素行、
    犯罪動機、目的、手段、生活狀況、品行、大學肄業之智識
    程度、家庭經濟為小康及告訴人所受之損害等一切情狀，量
    處如主文所示之刑，以示懲儆。",0,0,0,0,1,0,1,0
24,第221條第1項,03204e5334,"竟藉故使告訴人來到陌生
    環境與其見面，且其不思循適當途徑調節自己之性需求，竟
    為滿足一己私慾，以前述強暴、脅迫手段對告訴人A 女性交
    ，損及告訴人A 女之性自主權及人性尊嚴，欠缺尊重他人身
    體自主權之觀念，所為實值非難，本應予以嚴懲，",0,0,0,0,1,0,0,1
25,第221條第1項,03204e5334,爰審酌被告與告訴人為同事關係，,0,0,0,0,1,0,1,0
26,第221條第1項,03204e5334,"復衡以被告業於警詢、偵訊、本院準備程序及審理時
    均始終坦認犯行，",1,0,0,0,0,1,0,0
27,第221條第1項,03204e5334,"其犯後深
    知其罪，始終坦承犯行，足見被告犯後態度良好，",1,0,0,0,0,1,0,0
28,第221條第1項,03204e5334,"然其犯罪情節究與事前謀劃並施以高
    強度強暴手段恣意踐踏被害人性自主決定權之窮兇惡極之徒
    有別，",0,1,0,0,0,0,1,0
29,第221條第1項,03204e5334,"惟念被告
    前無任何前科紀錄，此有臺灣高等法院被告前案紀錄表附卷
    為憑（詳見本院卷第19頁），顯見被告素行尚佳，",0,0,0,1,0,1,0,0
30,第221條第1項,03204e5334,"並於本院審理時與告訴人成立調解，並當
    庭賠償告訴人新臺幣（下同）60萬元完畢等情，有本院108
    年9 月24日審理筆錄、本院調解筆錄在卷可按（詳見本院卷
    第89頁、第99頁），堪認被告尚知悔悟，且積極彌補己過。",0,0,1,0,0,1,0,0
31,第221條第1項,03204e5334,"而告訴人亦於本院審理時表示願意原諒被告，同意給予被告
    緩刑之機會（詳見本院卷第89頁、第96頁）。",0,0,1,0,0,1,0,0
32,第221條第1項,03204e5334,"已與告訴人達成調解，並已當庭賠償全數調解金60
    萬元完畢，告訴人亦當庭表示願意原諒被告及請求本院給予
    被告緩刑之宣告，此有本院108 年9 月24日審判筆錄及本院
    調解筆錄在卷可考（詳見本院卷第89頁、第96頁、第99頁）
    ，堪認被告有盡力彌補犯罪所生之損害，",0,0,1,0,0,1,0,0
33,第221條第1項,040b913e96,"並參酌被告本案之犯罪動機、目的、手段、
    情節等犯罪情狀，",0,0,0,0,1,0,1,0
34,第221條第1項,040b913e96,爰以行為人之責任為基礎，審酌被告為滿足一己性慾，,0,0,0,0,1,0,1,0
35,第221條第1項,040b913e96,犯後仍否認犯行，,1,0,0,0,0,0,0,1
36,第221條第1項,040b913e96,"A女因而身心受創，
    所為甚為不該；",0,1,0,0,0,0,0,1
37,第221條第1項,040b913e96,"對陌
    生網友A女為強制猥褻、強制性交犯行，",0,0,0,0,1,0,1,0
38,第221條第1項,040b913e96,"迄未與A女達成和解，
    獲A女諒解等犯後態度等一切情狀，爰量處如主文所示之刑
    ，以資懲戒。",0,0,1,0,0,0,1,0
39,第221條第1項,042cfadba9,"對甲女為強制性交
    犯行，對他人性自主決定權未予尊重，自應受一定程度之刑
    事非難。",0,0,0,0,1,0,1,0
40,第221條第1項,042cfadba9,"被
    告生活狀況、智識程度、家庭經濟狀況（見本院卷第53頁）
    等一切情狀，量處如主文所示之刑，以資懲儆。",0,0,0,0,1,0,1,0
41,第221條第1項,042cfadba9,惟念被告於本院審理中終能坦承犯行，,1,0,0,0,0,1,0,0
42,第221條第1項,042cfadba9,兼衡本件犯行使用之強暴手段、對A 女所生之危害程度、,0,1,0,0,0,0,1,0
43,第221條第1項,042cfadba9,"並與A 女達
    成調解，且就調解金額履行完畢，堪認犯後態度尚屬非劣。",0,0,1,0,0,1,0,0
