ID,neutral00,neutral01,neutral02,neutral03,neutral04,neutral05,neutral06,neutral07,neutral08,neutral09,neutral10,neutral11,neutral12,neutral13,neutral14,neutral15,neutral16,neutral17,neutral18,neutral19,neutral20,neutral21,neutral22,neutral23,neutral24,neutral25,neutral26,neutral27,neutral28,neutral29,neutral30,neutral31,neutral32,neutral33,neutral34,neutral35,neutral36,neutral37,neutral38,neutral39
02_20_7e1bc9,如遲誤一期履行，其後喪失期限利益，,長時間工作，子女由原告接送上下學等，,嗣被告於頂讓便當生意後本希望原告幫其對帳，,這是被告能做的；或是先分居一段時間，,2次按扶養之程度，應按受扶養權利者之需要，,但被告已經半年未與子女接觸，此期間仍關心子女狀況，,若因學校安排之活動固定課外輔導或特殊原因致無法探視，,方急於拿取原告手機，兩造發生拉扯，,被告婚後一再為家中生計努力工作，存摺印章等亦皆交由原告保管，,嗣後案父質疑案母有婚外情，故兩造發生言語及肢體衝突，,顯然不適合單獨監護，家屬在照顧子女只是協助的角色，,甚至恐嚇之言詞，此非如被告所主張一時情緒之言語云云，,甚至家中垃圾桶之保險套等，原告均否認為原告所使用或攜回，,而原告無法就近照料時，被告應為必要之醫療措施，,得審酌一切情況，定其給付之方法，不受聲請人聲明之拘束。,被告因此情緒衝動而有肢體行為，但此絕非故意實施家暴，,垃圾桶內尚有保險套等物，被告見狀詢問，,核其性質係屬非訟事件，屬本院得依職權審酌而定之事項，,為什麼全是我，幹殺妳們全家婊子幹妳一直說別的男人對妳好，,於本判決確定後，如遲誤壹期不履行者，,探視時間屆滿時，由原告至被告住居所攜回未成年子女乙丙，,此所謂不堪同居之虐待，係指予以身體或精神上不可忍受之痛苦，,非如被告訴代所稱不需參酌家屬意見，,非以他方出於虐待之主觀意思為其要件，,我沒有別的男人，我只有你，你要對自己有信心，,訴請離婚，應屬無理由。4家中生計主要支出者為被告，,然原告聲請該保護令所陳述之內容與事實有違。,前揭會面時間於兩造協議後亦得自行變更或延長。,被告應另行開創己身之事業，可使家中妻子獲得更優渥之生活環境，,3本院斟酌上情，未成年子女乙丙現與母親即原告同住受照顧，,而依卷附臺中市私立龍眼林社會福利慈善事業基金會訪視報告，,被告得為見面通信通話致贈禮物交換照片拍照等行為，,但對此被告為維持家中美滿亦僅能隱忍。,則當次之探視時間，順延至次一週實施。,被告盛怒之下竟以雙手毆打原告，並用腳踹原告，,現仍存續中，並育有未成年子女乙丙，,但遭原告拒絕，被告乃由行善團會計之友人協助核對，,無正當理由，原告不得無故拒絕。原告經被告同意，,被告本能反應認原告在婚姻中有隱瞞之情事，,其等理解及表達能力清晰，可充分表達，
03_10_df8a44,係屬定期金性質，為恐日後被告有拒絕或拖延之情，,5南山人壽保單號碼號保單價值：172909元。,亦即由原告負全責，縱被告應負一點責任，,有沒有制止爸爸不要打媽媽？）有，但爸爸沒有停手。,一再以威脅性強制性逼迫性之口吻內容對待原告，,自應以法定財產制為其等之夫妻財產制。,102年2月2日晚間，原告不理被告用餐事宜，,均至清償日止，按週年利率百分之5計算之利息部分，,其判斷之標準為婚姻是否已生破綻而無回復之希望。,其經常性支出包括消費性支出及非消費性支出，,兩造所生未成年子女丙丁權利義務之行使或負擔，,有不能維持婚姻之重大事由。且就上開離婚事由觀之，,問爸爸說你知道我在洗澡嗎？他回答我怎麼知道是你在洗。,與扶養義務者之經濟能力及身分定之；負扶養義務者有數人，,（你有看到媽媽受傷嗎？）有，媽媽的眼睛周圍還有腰部，,然被告並不因此免予負擔未成年子女之扶養義務，,有時候讀到快二點。（爸爸打媽媽之後，,則原告請求分配剩餘財產即無理由，亦應駁回。,原告離婚之請求應予駁回。三原告離婚之請求應予駁回，,且原告自己花光所得，而無什麼存款，,並提出報告及建議，家事事件法第106條第1項復有明文。,共148255元。3中環10400股，,2三信商業銀行：14779元。股票證券：429061元。,媽媽會常常在晚上講電話講很久嗎？）不會。,而應依客觀之標準，即難以維持婚姻之事實，,2南山人壽保單號碼號保單價值：1198元。,有戶籍謄本可稽，兩造於本件審理終結前，,七聲明：如主文所示。貳被告則以：一原告所述不實，,準此，原告依民法第1030條之1第1項規定，,在原告公司散佈不實之言論，貶損原告人格。,而被告之婚後財產為10624032元，,伊空言否認，自無可採。二婚後債務部分：1434586元，,又有民法第1052條第1項以外之重大事由，,三樓會沒水洗。被告在二樓洗澡，亦不知三樓有人在洗，,被告亦無動於衷，令子女目睹父親毆打母親，,係贈與被告之購屋賀金，要給被告購買傢俱及裝潢之用，,但因繼承或其他無償取得之財產及慰撫金不在此限。,爸爸就直接帶我去公司。他看著每個公司的司機，,難以維持婚姻者，夫妻之一方如無過失，,以確保未成年子女即時受扶養之權利，
05_06_08c0ba,且為實際照顧者；其，其真摯意願應予尊重等一切情狀，,依協議由一方或雙方共同任之。未為協議或協議不成者，,本院裁定如下：主文兩造所生未成年子女甲（男，,如不服本裁定應於送達後10日內向本院提出抗告狀，,育有未成年人甲；嗣兩造於103年3月7日調解離婚，,未實際擔負對於甲之身上照護職務之事實，,兩造於民國（下同）103年3月7日調解離婚，,另有犯施用第一級毒品罪，已宣判但尚未接到判決書。,於104年9月起將未成年人交由聲請人照顧。,酌定聲請人單獨任之。聲請程序費用新臺幣壹仟元由相對人負擔。,兩造均得隨時聲請法院酌定之，併此敘明。,尤應注意：子女之年齡性別人數及健康情形。,但關於甲之親權監護部分兩造未有約定等情，,五依家事事件法第97條非訟事件法第21條第2項，,未成年人之姑姑鍾招娣亦表示相對人現因案在監執行，,105年2月18日入監執行，刑期須到108年12月5日，,嗣相對人而聲請人為甲之生母，有監護意願，,未約定甲之親權監護人。離婚後，甲雖交由相對人照顧，,二相對人則稱：伊現因犯槍砲案經判刑有期徒刑三年六月確定，,業據未成年人甲證稱：之前是爸爸媽媽在照顧我，,法院依民法第一千零五十五條條裁判時，,伊同意甲由聲請人單獨監護，但希望伊出監後，,但相對人卻將甲交由其姐鍾招娣照顧，,本院乃認由聲請人獨任未成年人甲之監護人符合甲之最佳利益，,（四）本院審酌前開各情，並參考訪視報告，,逕將甲交付其姐照顧，自己則另在附近住居，,並據聲請人陳明在卷（見本院卷第40頁）。,日後俟相對人出監且認有必要，在尊重未成年子女意願前提下，,未與甲同住，自己住在附近，未對甲付出關懷。,爸爸沒有一起住，不知道爸爸去哪裡，,民法第1055條第5項固定有明文。,而伊現在不便照顧，已將未成年人甲交由聲請人照顧等語，,甲可以歸還由伊監護等語。三本院之判斷：（一）按夫妻離婚者，,爸爸媽媽沒有在一起後，我跟爸爸住，,需服刑至108年12月5日，同意於伊在監服刑期間，,應依子女最佳利益，審酌一切情狀，參考社工人員之訪視報告，,請求法院改定之，民法第1055條第1項第3項定有明文。,亦有本院公務電話紀錄附卷足佐，核與聲請人所述情節悉相符。,但實際上相對人卻現因鍾招娣無法照顧，,有戶籍謄本在卷足佐（見本院卷第4頁），
05_16_a5fed5,（五）兩造於不違反未成年子女意願學業及作息範圍內，,兩造應隨時保持電話聯繫暢通，並應告知他方未成年子女所在處所。,自行決定其與聲請人會面交往之時間及方式。,得隨時以電話網路或書信與未成年子女聯絡。,（六）兩造應注意未成年子女之身心發展，,願意每月支付相對人5000元至10000元扶養未成年子女，,依附關係亦屬良好，而相對人與母親兄嫂一同照顧未成年子女，,二兩造應遵守事項：（一）兩造行使會面交往權時，,有隱匿聲請人行蹤探視未成年子女之事實，,未成年子女現年5歲，由相對人及其家人照顧，,假日時能與聲請人同住，同時有父母之關懷等情，,而聲請人表示：伊每月薪資僅新臺幣（下同）兩萬多元，,但伊希望1個月之中能夠探視幾次未成年子女，,伊如果留在台灣，如果相對人以後養不起未成年子女，,將無法居留在台灣，相對人明知此一情形，,剝奪未成年子女在成長過程中繼續獲得母親之關愛。,相對人惡意妨礙聲請人與未成年子女會面交往，,依協議由一方或雙方共同任之。未為協議或協議不成者，,未成年子女權利義務之行使或負擔由相對人任之。,不得教導未成年子女仇視他方，或妨礙未成年子女與他方正常往來。,然相對人，相對人為越南之外籍配偶，,又阻礙聲請人對未成年子女會面交往親權之行使，,應於2日前通知他方及未成年子女，兩造無正當理由，,伊也可以幫忙支付扶養費等語。經法官訊問未成年子女後，,並由相對人擔任未成年子女丙之主要照顧者。,兩造同意援引上開離婚事件酌定未成年子女親權之訪視報告，,如果居留期間無法延長，伊回越南後，,相對人向鈞院請求離婚，聲請人於審理期間因未居住於戶籍地，,而本件開庭訊問時，相對人表示：因為未成年子女都是伊在扶養，,聲請人於本院審理時表示願每月給付未成年子女扶養費用，,堪信為真實。（二）另本院依職權調閱上開離婚事件卷宗，,未成年子女長期欠缺母親關懷陪伴，有害於未成年子女之利益，,並將未成年子女對聲請人之感受意願告知兩造，,聲請人得攜同未成年子女返家過年，於初四下午6時前，,酌定未成年人權利義務之行使或負擔由相對人任之。,自除夕當日上午9時前聲請人得攜同未成年子女返家過年，,（四）如遇學校暑假期間，除上述會面期間外，,提供未成年子女安全關懷之生活教養環境，,然聲請人離家後不定時返回相對人之住處探視未成年子女，,相對人之兄及兄嫂不喜歡未成年子女到聲請人之住處，
05_37_014d3c,定其給付之方法，不受聲請人聲明之拘束。,均無理由等語置辯，並聲明：駁回原告之訴。,因兩造之互動亦使未成年子女感到壓力，,已無共同活，未同居期間之生活費用，,本件兩造原先即因子女照顧等問題而同意分房，,負擔至未成年子女於101年底休學時止。,四原告自102年2月起，未再與被告互動，,應予准許，其另依民法第1056條規定，,應按受扶養權利者之需要與負扶養義務者之經濟能力及身分定之，,有逐漸減少家庭生活費用分擔情事，但並非全未盡義務，,91年6月26日修正後民法第1003條之1定有明文，,因被告通過澎湖地方特考而遷居澎湖，,凡此，兩造因未能互相體察彼此辛勞之處，,即於未成年子女面前咆哮責打未成年子女等方式逼迫，,及情緒不穩，因細故脾氣發作而爭執等過程不斷上演，,視為取消當次之探視，原告及未成年子女毋庸等候。,甚至在原告未告知前不知子女就學之處所，,對於未成年子女往後照顧與教育亦相當重視，,及分擔子女部分保險費（年繳約10000元左右），,至同日晚上8時30分前帶回原處所。,均不爭執，則原告核尚無不當減少其婚後財產之情事，,應依子女之最佳利益，審酌一切情狀，,然均不爭執在101年底時兩造已分房，,又所謂婚姻共同生活體，不以共同居住一處為必要，,於102年12月間被告主動解除帳戶自動扣款而未再負擔。,未成年子女之所有支出家庭開銷等均由原告獨自負擔，,於高雄地區無適當之支持系統，為未成年子女之最佳利益考量，,約幾千元，伊在原告沒有工作那段時間也會給伊零用錢，,而被告雖未再匯款繳納貸款，然家中其他支出及家事勞務仍舊負擔，,4情感依附：。5未成年子女之意願：觀察綜上而論，,由原告親自照顧，被告負擔家庭生活費用，,但同宿在親子情感交流意義上，應是果而非因，,兩造交往多年，在未受到被告原生家庭之祝福下仍堅定走入婚姻，,從而，原告依民法第1052條第2項規定訴請判決離婚，,足見兩造已無夫妻生活之可能性，情感已蕩然無存，,及兩造收入約略相當，認應由被告負擔每月10000元之扶養費，,而婚姻是否已生破綻無回復之希望，則應依客觀之標準，,爰不一一論述，併此敘明。十據上論結，,接下來兩造長達二年時間幾乎無互動不聞問，,及原告之經濟狀況親職能力及兩造現難以妥善溝通討論等情，
06_14_4324db,致其出手毆打相對人而遭收容及保護管束，,也聯絡不上101年12月7日載明已連續二天未到校，,裁定如主文第2項所示。四依家事事件法第104條第3項，,於103年10月13日載明缺曠課嚴重，,嚴重影響子女之受教權，致學校師長聯繫無著，,亦有諸多非理性之言行，渴求兄姊之關懷協助。,連個早餐錢也沒給我，一個月沒吃過早餐了，,個案有美工刀自傷行為近期因監護權官司，,並由相對人照顧次子乙之生活起居，此情為兩造所不爭執，,會特別注意其身體狀況，平日與子女相處如朋友，,足見子女乙與相對人同居生活期間，其情緒多有低落之處，,子女有獨立房間書桌電腦，相對人表示因子女有血癌，,我快被折磨死了，各位兄弟姊妹看到的，,本件應駁回其聲請。三本院之判斷：（一）按夫妻離婚者，,致我國中只拿到肄業證書，媽媽常帶我們去看精神科醫生，,陸相對人於會面交往期間應善盡保護教養及醫療照顧責任。,於不影響子女學校暑期輔導活動之情形下，,爰酌定相對人得與子女會面交往如附表，,由聲請人與相對人參酌子女意見另行協議。,平日居住於警察宿舍，每月與次子乙見面12次，,相對人得增加10日之會面交往期間，,作業有缺漏，聯絡簿沒簽名101年11月載明已連續二天未到校，,不帶我去看醫生就算了，還叫我幫忙掃地洗碗，,哥哥姊姊又沒一個人回我，我快死了我的肚子很痛，,她常說身體不適需人照顧，讓我們請假回家，,因相對人陪伴在旁，次子乙不敢多說話，,請求法院改定子女之權利義務行使負擔或會面交往方式。,不帶我去看醫生就算了，還叫我幫忙掃地洗碗，,媽媽不要養後面養一隻很可愛的狗嘴巴被橡皮筋綁，,使其有表達意願或陳述意見之機會；必要時，,請喪假1週，過後仍未到校，也連絡不上，,倘改由聲請人行使次子乙之監護權，將安排於附近就讀國中，,童年記憶裡沒有所謂的睡覺前陣子我發現小弟沒上課，,根本不管我死活，痛死了誰可以救救我，,應依子女之年齡及識別能力等身心狀況，,（二）查聲請人與相對人於95年2月9日離婚，,如對本裁定抗告，須於裁定送達後10日內向本院提出抗告狀，,為此，爰聲請酌定改由聲請人行使負擔對未成年子女乙之權利義務。,限制子女與其兄姊見面，依據青少年發展理論，,於法庭內外，以適當方式，曉諭裁判結果之影響，
06_44_b883ce,未成年子女許紀為說要下車自己回去，,因命給付扶養費，係屬家事非訟事件，,其不僅為父母之權利，更為子女之權利，,實無法與被告同住，已於106年3月29日返回娘家居住，,然被告不遵守協議。106年3月底某日，,又父母對未成年子女有保護教養及扶養義務，,原告聲請訊問之證人許紀為許逸宏均已遭原告洗腦，,並以衛生紙影射原告偷人，被告辯稱是開玩笑係關心原告身體，,自無庸再就原告其餘離婚請求權加以審酌。,被告因懷疑原告外遇，下班回來叫原告脫褲子檢查一下，,並於通訊軟體解釋是其太愛原告，不敢向原告說，,將酒倒入被告車輛，導致未成年子女許紀為誤解被告。,亦有賭博陋習，希望為了兩位受監護人有良好教育生活照顧，,被告亦當庭表示該協議書是四個人一起簽名同意，,民法第1055條第1項第1055條之1分別定有明文。,被告多次問原告說妳的車怎麼沒停放在路邊，,教育規劃評估：許紀為就讀軍校許逸宏目前就讀國中二年級，,我爸說要去學校載我，他上快速道路的時候一直偏來偏去，,如有其他支出，原告會支付，被告為未成年子女之父，,在台北工作之四五年間，為維繫夫妻與親子感情，,四得心證之理由：（一）原告主張兩造係夫妻，,（三）父母之年齡職業品行健康情形經濟能力及生活狀況。,致夫妻無法共同生活，無復合可能者，,且此種扶養義務為生活保持義務，並非生活扶助義務，,仍入不敷出，甚至須代償原告之借款，,剩餘的錢都給了原告。90幾年間，被告遠赴台北工作，,是以兩造對於未成年子女之扶養程度，,因此原告絕對具有照顧子女之能力與環境。,業據原告提出協議書為證（卷第7頁），,許紀為就讀軍校，每月可領6000元，,會罵三字經等語（卷第214頁反面），,並到原告工作之自助餐購買便當帶回家食用，,是因為早到老闆也不會多給薪水，原告是中午1點半下班，,顯不足採信。至於原告主張被告對其下體檢查一事，,被告自稱過去為經濟提供者，過去亦為協助照顧，,顯係謊言。原告於85年4月24日購車，,兩造其餘陳述及主張對本件認定之結果無影響，,並提出報告及建議，家事事件法第106條第1項另有明文。,以想做那件事5分鐘就足夠等語羞辱原告，,且傳送訊息暗諭原告在外有男人以羞辱原告，
07_04_53ddb1,並聲明：1准反請求原告與反請求被告離婚。,堪認屬實。雖反請求被告以前詞置辯，,如有遲誤一期履行，當期以後一至十二期之給付視為亦已到期。,而婚姻是否已生破綻無回復之希望，不可依主觀的標準，,即從原告已喪失維持婚姻意欲之主觀面加以認定，,至未成年子女郭安芹成年之日止，按月於每月十日，,因為我平日工作有時候會拖到深夜12點多才下班，,你以為我不敢打你是不是，隨後錄影畫面避開二人身體主要部分，,原告與楊晴媃通姦，屬有過失之一方，,竟屢遭被告拒於門外，不讓原告及未成年子女郭鎧瑜進入家門，,六反請求原告其餘之訴駁回。七訴訟費用由原告負擔。,又受害人因離婚所受非財產上之損害，,令被告難過萬分。又兩造婚後，被告認識訴外女子楊晴媃，,當令反請求原告深受打擊，其所受精神上之痛苦非微，,所餘100萬元則因被告保證會返還而先存入被告之帳戶內。,因左眼傷害之程度已影響日常生活起居，,建議本案宜由反請求原告單方行使未成年子女之親權較屬週合等語，,爰依民法第1052條第1項第4款及第2項規定請求判決離婚。,又被告觀念保守，結婚迄今均忠於家庭，,有穩定工作收入，亦有自宅可做為未成年子女日後成長環境，,但其事由應由夫妻之一方負責者，僅他方得請求離婚，,就反請求被告部分，結果略以：本會訪視了解，,又被告對未成年子女郭鎧瑜儉省已達吝嗇程度，,未料未成年子女郭鎧瑜竟然情緒失控，,伊不確定照片中的男女是否為伊和楊晴媃。,請求判准兩造離婚，自均無理由，應予駁回。,而與楊晴媃發生前述外遇行為，所為嚴重破壞兩造婚姻幸福美滿，,而意圖占為己有。兩造感情因上開事由而日漸不睦，,又反請求原告為二專畢業，從事保險業務員，,顯示：未成年子女郭鎧瑜與被告就整理房間之事發生爭執，,未成年子女郭鎧瑜應有揮打外傭手持錄影中之手機，,既已緩和處分權主義，明定法院得於聲請人請求之總額內，,喪失期限利益之範圍或條件，並得酌定加給之金額。,被證3第2頁照片中的男女，女的長的有像楊晴媃，,故定離因損害之賠償數額，自應斟酌已定之離婚損害賠償數額，,併諭知如反請求被告有遲誤1期履行，,酌定由反請求原告任之。爰判決如主文第三項所示。,反請求被告之經濟能力顯較反請求原告為優，,並於104年11月29日打傷未成年子女郭鎧瑜等情事，,則其依民法第1052條第1項第第4款第2項之規定，
09_45_7b7d65,此後再也不願返回夫妻共同住所之承德路房屋，,並建請諭令兩造皆應遵守友善父母原則，,對其衝擊過大，恐生反效果，造成父女關係更為疏離，,夫妻實已形同陌路。近年雙方及雙方父母曾多次論及離婚事宜，,堪信為真。被告雖辯稱係基於兩造之協商而攜女回娘家居住，,其備位聲明請求履行同居即無庸審究。,原告即已一再表示，只要能夠增加見到子女的時間，,被告可適任案主監護人角色稱職。因本會僅與被告及案主訪談，,已包含日常生活所需之食衣住行育樂各項費用在內，,然此期間，原告鮮少到被告娘家探視被告及女兒，,評估被告的收支若持續做好良善的支配運用，,如雙方之有責程度相同時，則雙方均得請求離婚，,再丁為女童，日後成長及青春期所面臨之生理心理問題，,併予敘明。九據上論結，本件原告之訴為一部有理由一部無理由，,且該事由不可歸諸於原告，爰依民法第1052條第2項之規定，,滿足其在成長及就學階段之生活各方面所需，,始符公平（最高法院90年度臺上字第1965號判決參照）。,觀察社區生活機能佳，住所內有完整家具且整理乾淨，,已合於民法第1052條第2項難以維持婚姻重大事由。,案主在睡覺與原告探視時都需要被告陪伴。,丁自出生後一直由被告照顧撫育，與被告關係十分密切。,係為求公允而設，故難以維持婚姻之重大事由，,已如前述。惟丁亦需父母兩性親情之關愛，,可見兩造婚後感情不睦，乃有離婚之議。,堪認雙方已無維繫婚姻之心意，徒有夫妻之名而無夫妻之實，,綜上，兩造婚後感情不睦，致有離婚之議。,原告應自被告單獨行使負擔未成年子女丁之權利義務確定之日起，,然分居之原因係因，兩造協商被告於坐月子期間，,被告於中興醫院坐月子半個月後，即以回娘家續坐月子為由，,故兩造婚姻破綻之發生，原告之有責性較高，,無法將案主交由與案主父女親情感疏離的原告照顧，,本點所定之會面交往期間如與第點所定之期間重疊時，,並準用同法第100條第124項之規定，,然對於原告，案主論及兩人的相處內容是為有限，,再扶養之程度，應按受扶養權利者之需要，,依民法第1001條規定兩造間彼此仍互負同居之義務，,且基於未來不會因為兩造的摩擦而影響到案主事務的處理，,被告有正當工作，日常生活作息正常，,所證應屬實情，堪認兩造分居後主觀上均無回復同居關係之意願。,雙方自此未有任何同居事實，迄今已經7年有餘，
10_21_d54011,應改定由聲請人單獨任之：夫妻離婚者，,若有延擱，得延長30分鐘，逾30分鐘接回，,應尊重其等個人意願，由其等自行決定會面交往之方式及期間。,不是灰燼，而是厚實的春泥。七綜上所述，,名下財產總額94萬2268元吳秋菊105年無所得紀錄，,，彭宜葳為全職家庭主婦，長男長女由其照顧，,若楊世昌未通知彭宜葳其指定第三人之姓名及關係，,就此彭宜葳僅稱因為當初是長男在唸書，,其後二十四期（含遲誤期）各視為亦已到期。,得審酌一切情況，定其給付之方法，不受聲請人聲明之拘束。,故彭宜葳逾此範圍之請求，則屬無據，,兼衡兩造住所培育親情之機會避免干擾各自之生活作息，,其與未成年子女之身分關係，不因離婚而受影響，,惟若其遲誤一期履行，即令其後所有之期間均視為到期，,並應負擔子女每月之保險費，其餘子女之生活費由彭宜葳負擔。,未行使親權之父母一方，僅其親權之行使暫時停止，,六兩造均不得對長男長女灌輸反抗對造或不利於對造之思想觀念。,足見其亦認為自己可負擔較多的扶養費數額，,此時父母仍應就其經濟能力及身分，與未成年子女之需要，,可知兩造能提供子女在最低生活水平以上的生活品質（例如，,相對人即反請求聲請人楊世昌應自民國一六年六月二十二日起，,然楊世昌未舉證佐實彭宜葳係如何故意阻撓會面交往之進行，,一律自假期開始後第三日下午5時起算至最後一日的晚上9時止。,民法第1119條規定甚明。故於父母離婚後，,故為免兩造就扶養費僵持不下，影響子女之最佳利益，,加以彭宜葳須在長男長女就學以外時間，,得前去其等就讀之幼兒園或學校探視會面。,如長男長女於會面交往中患病或有其他急迫情形，,且長男長女之生活教育等費用應不限於接受國民義務教育，,據此而論，長男長女若仍由兩造共同行使權利負擔義務，,此增加時間之起始點由兩造協議，如協議不成，,本院認長男長女每月扶養費應各為1萬8000元為適當。,且其等與彭宜葳共同生活，有強烈之依附關係，,例如以發送簡訊或Line方式準時告知要接長男長女，,爰不逐一詳予論駁，併此敘明。九依家事事件法第104條第3項，,距今不遠，何以數額有如此幅度的提高，,視同放棄當次的會面交往；逾30分鐘送回，,與負扶養義務者之經濟能力及身分定之，,於每月第24週之週六上午10時起至該週週日下午8時止。,約定未成年子女權利義務之行使或負擔均由兩造共同任之，
